input,actual_output,expected_output
بیمار من وارفارین مصرف می‌کند و اخیراً برای آریتمی آمیودارون و برای عفونت ریه سفوتاکسیم گرفته. INR او ناگهان بالا رفته. کدام تداخل دارویی محتمل‌تر است و چرا؟,"تداخل دارویی بین وارفارین و آمیودارون محتمل تر است. آمیودارون به
عنوان یک داروی ضد آریتمی شناخته شده است و می‌تواند تأثیرات ضدانعقادی وارفارین را
افزایش دهد. این افزایش تأثیر باعث بالا رفتن سطح INR و خطر خونریزی می‌شود. در
حالی که سفوتاکسیم (سفالوسپورین) نیز می‌تواند اثر وارفارین را افزایش دهد، اما
اطلاعات بیشتری در مورد تداخل بین وارفارین و آمیودارون نشان دهنده خطر بیشتر است
",آمیودارون مهارکنندهٔ قوی CYP2C9 است و متابولیسم وارفارین را کاهش می‌دهد، بنابراین افزایش INR بیشتر به آمیودارون مربوط است. سفوتاکسیم اثر خفیف‌تری دارد و معمولاً افزایش شدید INR ایجاد نمی‌کند.
بیمار دیابتی که متفورمین مصرف می‌کند، برای CT با مادهٔ حاجب مراجعه کرده و GFR او ۲۸ است. آیا این ترکیب خطرناک است؟,"بله، ترکیب مصرف متفورمین با CT با مادهٔ حاجب در بیمارانی که GFR
آنها ۲۸ است، خطرناک می‌باشد. متفورمین باید ۲ روز قبل از جراحی یا استفاده از مواد
حاجب برای آزمایشات پزشکی قطع شود و GFR پایین می‌تواند خطر ابتلا به اسیدوز لاکتیک
را افزایش دهد
",بله، کاهش عملکرد کلیه همراه با مادهٔ حاجب می‌تواند دفع متفورمین را مختل کند و خطر اسیدوز لاکتیک را افزایش دهد.
بیمار با نارسایی قلبی دیگوکسین مصرف می‌کند و پزشک برای کنترل ضربان، وراپامیل اضافه کرده. بیمار دچار تهوع و برادی‌کاردی شده. آیا تداخل وجود دارد؟,"بله، تداخل دارویی بین دیگوکسین و وراپامیل وجود دارد. مصرف همزمان
این دو دارو می‌تواند منجر به افزایش غلظت پلاسمایی دیگوکسین شود و خطر برادی‌کاردی
(کاهش ضربان قلب) و بلوک دهلیزی-بطنی را افزایش دهد. بنابراین، علائم تهوع و
برادی‌کاردی بیمار ممکن است به دلیل تداخل این دو دارو باشد
",وراپامیل دفع کلیوی دیگوکسین را کاهش می‌دهد و سطح آن را بالا می‌برد. نارسایی کلیه نیز این اثر را تشدید می‌کند و علائم مسمومیت ایجاد می‌شود.
بیمار افسرده که سرترالین مصرف می‌کند، برای درد ترامادول گرفته و اکنون دچار تعریق، بی‌قراری و تاکی‌کاردی شده. علت چیست؟,"علت تعریق، بی‌قراری و تاکی‌کاردی در بیمار افسرده که سرترالین مصرف
می‌کند و ترامادول گرفته، احتمالاً به دلیل تداخل دارویی بین سرترالین (که یک SSRI
است و میتواند باعث افزایش سطح سروتونین شود) و ترامادول (که ممکن است به عنوان یک
داروی سروتونرژیک عمل کند) و در نتیجه بروز ""سندرم سروتونین"" است. این سندرم به
واسطه تجمع بیش از حد سروتونین در بدن ایجاد می‌شود و علایمی نظیر تعریق، بی‌قراری،
افزایش ضربان قلب (تاکی‌کاردی) را به دنبال دارد. مصرف همزمان این دو دارو باید با
احتیاط صورت گیرد و در صورت بروز این علائم، نیاز به مراجعه فوری به پزشک دارد
",ترکیب SSRI و ترامادول می‌تواند خطر سندرم سروتونین را افزایش دهد.
بیمار آتورواستاتین مصرف می‌کند و برای عفونت، کلاریترومایسین دریافت کرده. اکنون دچار درد عضلانی و ضعف شده. آیا تداخل مطرح است؟,"بله، تداخل دارویی بین آتورواستاتین و کلاریترومایسین مطرح است.
مصرف همزمان این دو دارو ممکن است باعث افزایش خطر بروز عوارض جانبی از جمله درد
عضلانی، ضعف و رابدومیولیز شود. این موضوع به خصوص در بیمارانی که به طور همزمان
تحت درمان با موارد دیگری هستند که می‌توانند غلظت آتورواستاتین را افزایش دهند،
اهمیت دارد
",کلاریترومایسین مهارکنندهٔ CYP3A4 است و سطح آتورواستاتین را بالا می‌برد و خطر میوپاتی و رابدومیولیز افزایش می‌یابد.
بیمار اختلال دوقطبی که لیتیوم مصرف می‌کند، چند روز ایبوپروفن خورده و اکنون دچار لرزش و تهوع شده. علت چیست؟,"مبتلا به اختلال دوقطبی که لیتیوم مصرف می‌کند و همزمان ایبوپروفن
مصرف کرده است، ممکن است به دلیل تداخل دارویی بین این دو دارو دچار عوارضی مانند
لرزش و تهوع شود. ایبوپروفن می‌تواند دفع لیتیوم را کاهش دهد و در نتیجه غلظت
لیتیوم در بدن افزایش یابد. این افزایش غلظت می‌تواند منجر به بروز علائمی نظیر
لرزش و تهوع گردد. بنابراین، بهتر است که بیمار سریعا با پزشک خود تماس بگیرد
",NSAIDها جریان خون کلیه را کاهش می‌دهند و دفع لیتیوم کم می‌شود، بنابراین سطح لیتیوم بالا می‌رود و علائم مسمومیت ظاهر می‌شود.
بیمار با نارسایی قلبی که رامیپریل و اسپیرونولاکتون مصرف می‌کند، پتاسیمش ۵.۹ شده. آیا این ترکیب خطرناک است؟,"ترکیب رامیپریل و اسپیرونولاکتون می‌تواند خطرناک باشد، خصوصاً با
پتاسیم ۵.۹ که به معنای هایپرکالمی (پتاسیم بالا) است. این ترکیب باعث افزایش سطح
پتاسیم می‌شود و ریسک عوارض جانبی جدی مانند آریتمی قلبی را افزایش می‌دهد. به همین
دلیل، بیمار باید تحت نظارت دقیق قرار گیرد و در صورت لزوم درمان‌های مناسب برای
کاهش پتاسیم مانند سدیم پلی‌استایرن سولفونات در نظر گرفته شود
",هر دو دارو پتاسیم را افزایش می‌دهند و مصرف هم‌زمان خطر هیپرکالمی را بالا می‌برد.
بیمار تحت درمان سل با ریفامپین است و از قرص ضدبارداری استفاده می‌کند. آیا احتمال بارداری ناخواسته وجود دارد؟,"بله، داروی ریفامپین می‌تواند تأثیرگذاری قرص‌های ضدبارداری را کاهش
دهد زیرا ریفامپین به متابولیسم این قرص‌ها سرعت می‌بخشد. بنابراین، احتمال بارداری
ناخواسته وجود دارد و توصیه می‌شود از یک روش دیگر جلوگیری از بارداری نیز استفاده
شود
",ریفامپین القاکنندهٔ قوی CYP3A4 است و سطح هورمون‌های ضدبارداری را کاهش می‌دهد و اثربخشی آن‌ها کم می‌شود.
بیمار آمیودارون مصرف می‌کند و برای عفونت قارچی فلوکونازول گرفته. آیا این ترکیب از نظر قلبی خطرناک است؟,"ترکیب آمیودارون و فلوکونازول از نظر قلبی ممکن است خطرناک باشد.
فلوکونازول می‌تواند اثرات آمیدارون را افزایش دهد و به علت تداخل‌های دارویی، از
جمله ضعف عضله قلب و برادی‌کاردی ممکن است بروز کنند. به همین دلیل، این ترکیب باید
با احتیاط صورت گیرد و در صورت لزوم تحت نظر پزشک و با انجام آزمایش‌های لازم انجام
شود
",هر دو دارو می‌توانند فاصلهٔ QT را طولانی کنند و خطر آریتمی‌های خطرناک افزایش می‌یابد.
بیمار فنلزین مصرف می‌کند و بعد از خوردن پنیر کهنه دچار سردرد شدید و افزایش فشار خون شده. علت چیست؟,"دلیل سردرد شدید و افزایش فشار خون در بیمار فنلزین مصرف‌کننده پس از
خوردن پنیر کهنه، احتمالا به ترکیب تیامین در پنیر کهنه و اثر فنلزین بر روی سیستم
عصبی مربوط می‌شود. فنلزین یک مهارکننده مونوآمین اکسیداز (MAO) است و پنیر کهنه
می‌تواند حاوی تیامین (تریلین) باشد که در نتیجه مصرف همزمان این مواد ممکن است
باعث افزایش فشار خون و سردرد در بیمار شود. این وضعیت به عنوان بحران هیپرتانسیو
شناخته می‌شود که باید به آن توجه ویژه‌ای شود
",MAOIها متابولیسم تیرامین را مهار می‌کنند و تجمع تیرامین باعث آزادسازی کاتکول‌آمین‌ها و بحران هیپرتانسیو می‌شود.
